plant number,inflorescence number,inflorescence,range,max_range,gender,notes
1,1,side,1,two,herm,anomal
1,1,side,2,two,herm,anomal
1,1,side,2,two,herm,anomal
1,1,side,2,two,herm,anomal
1,1,side,2,two,herm,anomal
1,2,side,1,three,male,
1,2,side,2,three,herm,
1,2,side,2,three,herm,
1,2,side,2,three,herm,
1,2,side,2,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,2,side,3,three,herm,
1,3,side,1,three,male,
1,3,side,2,three,herm,
1,3,side,2,three,herm,
1,3,side,2,three,herm,
1,3,side,3,three,herm,
1,3,side,3,three,herm,
1,3,side,3,three,herm,
1,3,side,3,three,herm,
1,3,side,3,three,herm,
1,3,side,3,three,herm,
1,4,side,1,three,male,
1,4,side,2,three,herm,
1,4,side,2,three,herm,
1,4,side,2,three,herm,
1,4,side,2,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,4,side,3,three,herm,
1,5,side,1,three,male,
1,5,side,2,three,herm,
1,5,side,2,three,herm,
1,5,side,2,three,herm,
1,5,side,2,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,5,side,3,three,herm,
1,6,side,1,three,male,
1,6,side,2,three,herm,
1,6,side,2,three,herm,
1,6,side,2,three,herm,
1,6,side,2,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,6,side,3,three,herm,
1,7,side,1,three,male,
1,7,side,2,three,herm,
1,7,side,2,three,herm,
1,7,side,2,three,herm,
1,7,side,2,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,7,side,3,three,herm,
1,8,side,1,three,male,
1,8,side,2,three,herm,
1,8,side,2,three,herm,
1,8,side,2,three,herm,
1,8,side,2,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,8,side,3,three,herm,
1,9,side,1,three,male,
1,9,side,2,three,herm,
1,9,side,2,three,herm,
1,9,side,2,three,herm,
1,9,side,2,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,9,side,3,three,herm,
1,10,side,1,three,male,
1,10,side,2,three,herm,
1,10,side,2,three,herm,
1,10,side,2,three,herm,
1,10,side,2,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,10,side,3,three,herm,
1,11,side,1,three,male,
1,11,side,2,three,herm,
1,11,side,2,three,herm,
1,11,side,2,three,herm,
1,11,side,2,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,11,side,3,three,herm,
1,1,upper,0,,male,
1,2,upper,1,,male,with additional cyathium
1,3,upper,1,three,male,
1,3,upper,2,three,herm,
1,3,upper,2,three,herm,
1,3,upper,2,three,herm,
1,3,upper,3,three,herm,
1,3,upper,3,three,herm,
1,3,upper,3,three,herm,
1,3,upper,3,three,herm,
1,3,upper,3,three,herm,
1,3,upper,3,three,herm,
1,4,upper,1,three,male,
1,4,upper,2,three,herm,
1,4,upper,2,three,herm,
1,4,upper,2,three,herm,
1,4,upper,2,three,herm,
1,4,upper,3,three,herm,
1,4,upper,3,three,herm,
1,4,upper,3,three,herm,
1,4,upper,3,three,herm,
1,4,upper,3,three,herm,
1,4,upper,3,three,herm,
1,5,upper,1,three,male,
1,5,upper,2,three,herm,
1,5,upper,2,three,herm,
1,5,upper,2,three,herm,
1,5,upper,2,three,herm,
1,5,upper,3,three,herm,
1,6,upper,1,three,male,
1,6,upper,2,three,herm,
1,6,upper,2,three,herm,
1,6,upper,2,three,herm,
1,6,upper,2,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,6,upper,3,three,herm,
1,7,upper,1,three,male,
1,7,upper,2,three,herm,
1,7,upper,2,three,herm,
1,7,upper,2,three,herm,
1,7,upper,2,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,7,upper,3,three,herm,
1,8,upper,1,three,male,
1,8,upper,2,three,herm,
1,8,upper,2,three,herm,
1,8,upper,2,three,herm,
1,8,upper,3,three,herm,
1,8,upper,3,three,herm,
1,9,upper,1,three,male,
1,9,upper,2,three,herm,
1,9,upper,2,three,herm,
1,9,upper,2,three,herm,
1,9,upper,2,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
1,9,upper,3,three,herm,
2,1,side,1,three,herm,anomal
2,1,side,2,three,herm,anomal
2,1,side,2,three,herm,anomal
2,1,side,2,three,herm,anomal
2,1,side,3,three,herm,anomal
2,1,side,3,three,herm,anomal
2,1,side,3,three,herm,anomal
2,1,side,3,three,herm,anomal
2,2,side,1,three,male,
2,2,side,2,three,herm,
2,2,side,2,three,herm,
2,2,side,3,three,herm,
2,2,side,3,three,herm,
2,2,side,3,three,herm,
2,2,side,3,three,herm,
2,3,side,1,three,male,
2,3,side,2,three,herm,
2,3,side,2,three,herm,
2,3,side,2,three,herm,
2,3,side,2,three,herm,
2,3,side,3,three,herm,
2,3,side,3,three,herm,
2,3,side,3,three,herm,
2,3,side,3,three,herm,
2,3,side,3,three,herm,
2,3,side,3,three,herm,
2,4,side,1,three,male,
2,4,side,2,three,herm,
2,4,side,2,three,herm,
2,4,side,3,three,herm,
2,4,side,3,three,herm,
2,4,side,3,three,herm,
2,4,side,3,three,herm,
2,5,side,1,three,male,
2,5,side,2,three,herm,
2,5,side,2,three,herm,
2,5,side,3,three,herm,
2,5,side,3,three,herm,
2,5,side,3,three,herm,
2,5,side,3,three,herm,
2,6,side,1,three,male,
2,6,side,2,three,herm,
2,6,side,2,three,herm,
2,6,side,3,three,herm,
2,6,side,3,three,herm,
2,6,side,3,three,herm,
2,6,side,3,three,herm,
2,7,side,1,three,male,
2,7,side,2,three,herm,
2,7,side,2,three,herm,
2,7,side,3,three,herm,
2,7,side,3,three,herm,
2,7,side,3,three,herm,
2,7,side,3,three,herm,
2,8,side,1,three,male,
2,8,side,2,three,herm,
2,8,side,2,three,herm,
2,8,side,3,three,herm,
2,8,side,3,three,herm,
2,8,side,3,three,herm,
2,8,side,3,three,herm,
2,9,side,1,three,male,
2,9,side,2,three,herm,
2,9,side,2,three,herm,
2,9,side,3,three,herm,
2,9,side,3,three,herm,
2,9,side,3,three,herm,
2,9,side,3,three,herm,
2,10,side,1,three,male,
2,10,side,2,three,herm,
2,10,side,2,three,herm,
2,10,side,3,three,herm,
2,10,side,3,three,herm,
2,10,side,3,three,herm,
2,10,side,3,three,herm,
2,11,side,1,three,male,
2,11,side,2,three,herm,
2,11,side,2,three,herm,
2,11,side,3,three,herm,
2,11,side,3,three,herm,
2,11,side,3,three,herm,
2,11,side,3,three,herm,
2,12,side,1,three,male,
2,12,side,2,three,herm,
2,12,side,2,three,herm,
2,12,side,3,three,herm,
2,12,side,3,three,herm,
2,12,side,3,three,herm,
2,12,side,3,three,herm,
2,1,upper,1,three,male,
2,1,upper,2,three,herm,
2,1,upper,2,three,herm,
2,1,upper,3,three,herm,
2,1,upper,3,three,herm,
2,1,upper,3,three,herm,
2,1,upper,3,three,herm,
2,2,upper,1,three,male,
2,2,upper,2,three,herm,
2,2,upper,2,three,herm,
2,2,upper,3,three,herm,
2,2,upper,3,three,herm,
2,2,upper,3,three,herm,
2,2,upper,3,three,herm,
2,3,upper,1,three,male,
2,3,upper,2,three,herm,
2,3,upper,2,three,herm,
2,3,upper,3,three,herm,
2,3,upper,3,three,herm,
2,3,upper,3,three,herm,
2,3,upper,3,three,herm,
2,4,upper,1,three,herm,
2,4,upper,2,three,herm,
2,4,upper,2,three,herm,
2,4,upper,3,three,herm,
2,4,upper,3,three,herm,
2,5,upper,1,three,male,
2,5,upper,2,three,herm,
2,5,upper,2,three,herm,
2,5,upper,3,three,herm,
2,5,upper,3,three,herm,
2,5,upper,3,three,herm,
2,5,upper,3,three,herm,
2,6,upper,1,three,herm,
2,6,upper,2,three,herm,
2,6,upper,2,three,herm,
2,6,upper,3,three,herm,
2,6,upper,3,three,herm,
2,6,upper,3,three,herm,
2,6,upper,3,three,herm,
2,7,upper,1,three,male,
2,7,upper,2,three,herm,
2,7,upper,2,three,herm,
2,7,upper,3,three,herm,
2,7,upper,3,three,herm,
2,7,upper,3,three,herm,
2,7,upper,3,three,herm,
3,1,side,1,two,male,
3,1,side,2,two,herm,
3,1,side,2,two,herm,
3,1,side,2,two,male,
3,2,side,1,two,male,
3,2,side,2,two,herm,
3,2,side,2,two,male,
3,2,side,2,two,male,
3,3,side,1,two,male,
3,3,side,2,two,male,
3,3,side,2,two,male,
3,3,side,2,two,male,
3,4,side,1,two,male,
3,4,side,2,two,male,
3,5,side,1,two,male,
3,5,side,2,two,herm,
3,5,side,2,two,herm,
3,5,side,2,two,herm,
3,6,side,1,two,male,
3,6,side,2,two,male,
3,6,side,2,two,herm,
3,6,side,2,two,herm,
3,6,side,2,two,herm,
3,7,side,1,two,male,
3,7,side,2,two,herm,
3,7,side,2,two,herm,
3,7,side,2,two,herm,
3,8,side,1,two,male,
3,8,side,2,two,herm,
3,8,side,2,two,herm,
3,8,side,2,two,herm,
3,9,side,1,two,male,
3,9,side,2,two,herm,
3,9,side,2,two,herm,
3,9,side,2,two,herm,
3,10,side,1,two,male,
3,10,side,2,two,male,
3,10,side,2,two,herm,
3,10,side,2,two,herm,
3,11,side,1,two,male,
3,11,side,2,two,herm,
3,11,side,2,two,herm,
3,11,side,2,two,herm,
3,12,side,1,two,male,
3,12,side,2,two,male,
3,12,side,2,two,male,
3,13,side,1,two,male,
3,13,side,2,two,herm,
3,13,side,2,two,herm,
3,13,side,2,two,herm,
3,1,upper,0,,male,
3,2,upper,1,two,male,
3,2,upper,2,two,herm,
3,2,upper,2,two,herm,
3,2,upper,2,two,herm,
3,3,upper,1,two,male,
3,3,upper,2,two,herm,
3,3,upper,2,two,herm,
3,3,upper,2,two,herm,
3,4,upper,1,two,male,
3,4,upper,2,two,herm,
3,4,upper,2,two,herm,
3,4,upper,2,two,herm,
3,5,upper,1,two,male,
3,5,upper,2,two,herm,
3,5,upper,2,two,herm,
3,5,upper,2,two,herm,
3,6,upper,1,two,male,
3,6,upper,2,two,herm,
3,6,upper,2,two,herm,
3,6,upper,2,two,herm,
3,7,upper,1,two,male,
3,7,upper,2,two,herm,
3,7,upper,2,two,herm,
3,7,upper,2,two,herm,
3,8,upper,1,two,male,
3,8,upper,2,two,herm,
3,8,upper,2,two,herm,
3,9,upper,1,two,male,
3,9,upper,2,two,male,
3,9,upper,2,two,herm,
4,1,side,1,two,male,
4,1,side,2,two,male,
4,1,side,2,two,male,
4,1,side,2,two,male,
4,2,side,1,two,male,
4,2,side,2,two,male,
4,2,side,2,two,male,
4,3,side,1,two,male,
4,3,side,2,two,male,
4,3,side,2,two,male,
4,3,side,2,two,male,
4,4,side,1,two,male,
4,4,side,2,two,male,
4,4,side,2,two,male,
4,4,side,2,two,male,
4,5,side,1,two,male,
4,5,side,2,two,male,
4,5,side,2,two,male,
4,6,side,1,three,male,
4,6,side,2,three,male,
4,6,side,2,three,male,
4,6,side,2,three,male,
4,6,side,3,three,herm,
4,6,side,3,three,herm,
4,7,side,1,two,male,
4,7,side,2,two,male,
4,7,side,2,two,male,
4,7,side,2,two,male,
