GU979429.1,Euphorbia altaica
GU937804.1,Euphorbia squamosa
GU953743.1,Euphorbia dulcis
GU953741.1,Euphorbia alatavica
GU953742.1,Euphorbia epithymoides
GU953744.1,Euphorbia epithymoides
GU979428.1,Euphorbia eugeniae
GU979427.1,Euphorbia glabriflora
GU979432.1,Euphorbia palustris
GU979435.1,Euphorbia pilosa
GU979433.1,Euphorbia procera
GU979430.1,Euphorbia semivillosa
GU979436.1,Euphorbia stricta
GU979425.1,Euphorbia transoxana
GU979431.1,Euphorbia valdevillosocarpa
GU979426.1,Euphorbia condylocarpa
GU979437.1,Euphorbia helioscopia
GU979439.1,Euphorbia komaroviana
GU979440.1,Euphorbia rupestris
GU979438.1,Euphorbia sarawschanica
GU984329.1,Euphorbia humilis
GU984331.1,Euphorbia pannonica
GU984332.1,Euphorbia petrophila
GU984330.1,Euphorbia seguieriana
GU984333.1,Euphorbia stepposa
GU984326.1,Euphorbia craspedia
GU984327.1,Euphorbia rigida
GU984336.1,Euphorbia paralias
GU984323.1,Euphorbia alaica
GU984324.1,Euphorbia heteradena
GU984309.1,Euphorbia agraria
GU984319.1,Euphorbia borealis
GU984318.1,Euphorbia caesia
GU984308.1,Euphorbia dubovikiae
GU984311.1,Euphorbia esula
GU984312.1,Euphorbia esula
GU984313.1,Euphorbia esula
GU984310.1,Euphorbia iberica
GU984316.1,Euphorbia latifolia
GU984320.1,Euphorbia leptocaula
GU984307.1,Euphorbia lucida
GU984321.1,Euphorbia subtilis
GU984314.1,Euphorbia tshuiensis
GU984315.1,Euphorbia uralensis
GU984317.1,Euphorbia virgata
GU984304.1,Euphorbia characias
GU984305.1,Euphorbia macroceras
GU984306.1,Euphorbia oblongifolia
GU984334.1,Euphorbia deflexa
GU984335.1,Euphorbia portlandica
GU984325.1,Euphorbia exigua
GU984322.1,Euphorbia szovitsii
GU984337.1,Euphorbia taurinensis
GU984328.1,Euphorbia falcata
AF537554.1,Euphorbia acanthothamnos
AF537556.1,Euphorbia depauperata
EU659767.1,Euphorbia fauriei
EU659765.1,Euphorbia jolkinii
EU659771.1,Euphorbia lucorum
AF537555.1,Euphorbia oblongata
EU659764.1,Euphorbia orientalis
EU659766.1,Euphorbia pekinensis
AY594263.1,Euphorbia pekinensis
AF537557.1,Euphorbia pilosa
AF537553.1,Euphorbia alta
AM040775.1,Euphorbia helioscopia
AF537552.1,Euphorbia spathulata
AF537559.1,Euphorbia stricta
AF537551.1,Euphorbia myrsinites
AF537549.1,Euphorbia calyptrata
EU659753.1,Euphorbia sieboldiana
AF537547.1,Euphorbia discolor
AF537546.1,Euphorbia esula
EU659749.1,Euphorbia esula
EU659752.1,Euphorbia lunulata
EU659751.1,Euphorbia nakaii
EU659750.1,Euphorbia octoradiata
EU659756.1,Euphorbia virgata
AF537544.1,Euphorbia amygdaloides
AJ508964.1,Euphorbia emirnensis
AM040770.1,Euphorbia genistoides
AF537548.1,Euphorbia kraussiana
AF537535.1,Euphorbia medicaginea
AF537532.1,Euphorbia peplus
AF537543.1,Euphorbia turczaninowii
AF537536.1,Euphorbia megalatlantica
AF537540.1,Euphorbia aphylla
AF537542.1,Euphorbia atropurpurea
AF537539.1,Euphorbia dendroides
